horizon_months,step,date,forecast
25,13,2026-10,310.32825181662304
25,14,2026-11,309.6856594834136
25,15,2026-12,309.4269373376371
25,16,2027-01,310.62243101608914
25,17,2027-02,311.97840815752227
25,18,2027-03,314.3272992599848
25,19,2027-04,316.4100759929152
25,20,2027-05,318.45487979336883
25,21,2027-06,319.86751579873965
25,22,2027-07,320.29574071207736
25,23,2027-08,321.11415766191067
25,24,2027-09,321.5622273574159
25,25,2027-10,322.49536468447604
26,1,2025-10,298.1723678484726
26,2,2025-11,297.1429428486286
26,3,2025-12,297.0725930299569
26,4,2026-01,298.7340838648992
26,5,2026-02,300.65357517622215
26,6,2026-03,301.88653735597086
26,7,2026-04,304.0892020255836
26,8,2026-05,306.35938819055866
26,9,2026-06,307.60579029101604
26,10,2026-07,308.31622943283804
26,11,2026-08,309.3999751326695
26,12,2026-09,309.6185913392328
26,13,2026-10,310.32825181662304
26,14,2026-11,309.6856594834136
26,15,2026-12,309.4269373376371
26,16,2027-01,310.62243101608914
26,17,2027-02,311.97840815752227
26,18,2027-03,314.3272992599848
26,19,2027-04,316.4100759929152
26,20,2027-05,318.45487979336883
26,21,2027-06,319.86751579873965
26,22,2027-07,320.29574071207736
26,23,2027-08,321.11415766191067
26,24,2027-09,321.5622273574159
26,25,2027-10,322.49536468447604
26,26,2027-11,322.23096942938076
27,1,2025-10,298.1723678484726
27,2,2025-11,297.1429428486286
27,3,2025-12,297.0725930299569
27,4,2026-01,298.7340838648992
27,5,2026-02,300.65357517622215
27,6,2026-03,301.88653735597086
27,7,2026-04,304.0892020255836
27,8,2026-05,306.35938819055866
27,9,2026-06,307.60579029101604
27,10,2026-07,308.31622943283804
27,11,2026-08,309.3999751326695
27,12,2026-09,309.6185913392328
27,13,2026-10,310.32825181662304
27,14,2026-11,309.6856594834136
27,15,2026-12,309.4269373376371
27,16,2027-01,310.62243101608914
27,17,2027-02,311.97840815752227
27,18,2027-03,314.3272992599848
27,19,2027-04,316.4100759929152
27,20,2027-05,318.45487979336883
27,21,2027-06,319.86751579873965
27,22,2027-07,320.29574071207736
27,23,2027-08,321.11415766191067
27,24,2027-09,321.5622273574159
27,25,2027-10,322.49536468447604
27,26,2027-11,322.23096942938076
27,27,2027-12,321.7679463686435
28,1,2025-10,298.1723678484726
28,2,2025-11,297.1429428486286
28,3,2025-12,297.0725930299569
28,4,2026-01,298.7340838648992
28,5,2026-02,300.65357517622215
28,6,2026-03,301.88653735597086
28,7,2026-04,304.0892020255836
28,8,2026-05,306.35938819055866
28,9,2026-06,307.60579029101604
28,10,2026-07,308.31622943283804
28,11,2026-08,309.3999751326695
28,12,2026-09,309.6185913392328
28,13,2026-10,310.32825181662304
28,14,2026-11,309.6856594834136
28,15,2026-12,309.4269373376371
28,16,2027-01,310.62243101608914
28,17,2027-02,311.97840815752227
28,18,2027-03,314.3272992599848
28,19,2027-04,316.4100759929152
28,20,2027-05,318.45487979336883
28,21,2027-06,319.86751579873965
28,22,2027-07,320.29574071207736
28,23,2027-08,321.11415766191067
28,24,2027-09,321.5622273574159
28,25,2027-10,322.49536468447604
28,26,2027-11,322.23096942938076
28,27,2027-12,321.7679463686435
28,28,2028-01,322.494476137016
29,1,2025-10,298.1723678484726
29,2,2025-11,297.1429428486286
29,3,2025-12,297.0725930299569
29,4,2026-01,298.7340838648992
29,5,2026-02,300.65357517622215
29,6,2026-03,301.88653735597086
