horizon_months,step,date,forecast
27,2,2025-11,269.7593589921848
27,3,2025-12,269.06376914187393
27,4,2026-01,268.60977397943833
27,5,2026-02,268.3134619969923
27,6,2026-03,268.1200661236309
27,7,2026-04,267.99384117813776
27,8,2026-05,267.91145712005095
27,9,2026-06,267.85768697976425
27,10,2026-07,267.8225924717539
27,11,2026-08,267.79968711041545
27,12,2026-09,267.7847373189013
27,13,2026-10,267.77497994101
27,14,2026-11,267.76861152956934
27,15,2026-12,267.7644550169561
27,16,2027-01,267.76174215877086
27,17,2027-02,267.75997153993285
27,18,2027-03,267.75881589859245
27,19,2027-04,267.7580616386247
27,20,2027-05,267.7575693508543
27,21,2027-06,267.75724804618574
27,22,2027-07,267.757038338173
27,23,2027-08,267.75690146667716
27,24,2027-09,267.75681213386565
27,25,2027-10,267.7567538284372
27,26,2027-11,267.75671577385305
27,27,2027-12,267.75669093651953
28,1,2025-10,270.8251087619834
28,2,2025-11,269.7593589921848
28,3,2025-12,269.06376914187393
28,4,2026-01,268.60977397943833
28,5,2026-02,268.3134619969923
28,6,2026-03,268.1200661236309
28,7,2026-04,267.99384117813776
28,8,2026-05,267.91145712005095
28,9,2026-06,267.85768697976425
28,10,2026-07,267.8225924717539
28,11,2026-08,267.79968711041545
28,12,2026-09,267.7847373189013
28,13,2026-10,267.77497994101
28,14,2026-11,267.76861152956934
28,15,2026-12,267.7644550169561
28,16,2027-01,267.76174215877086
28,17,2027-02,267.75997153993285
28,18,2027-03,267.75881589859245
28,19,2027-04,267.7580616386247
28,20,2027-05,267.7575693508543
28,21,2027-06,267.75724804618574
28,22,2027-07,267.757038338173
28,23,2027-08,267.75690146667716
28,24,2027-09,267.75681213386565
28,25,2027-10,267.7567538284372
28,26,2027-11,267.75671577385305
28,27,2027-12,267.75669093651953
28,28,2028-01,267.75667472577516
29,1,2025-10,270.8251087619834
29,2,2025-11,269.7593589921848
29,3,2025-12,269.06376914187393
29,4,2026-01,268.60977397943833
29,5,2026-02,268.3134619969923
29,6,2026-03,268.1200661236309
29,7,2026-04,267.99384117813776
29,8,2026-05,267.91145712005095
29,9,2026-06,267.85768697976425
29,10,2026-07,267.8225924717539
29,11,2026-08,267.79968711041545
29,12,2026-09,267.7847373189013
29,13,2026-10,267.77497994101
29,14,2026-11,267.76861152956934
29,15,2026-12,267.7644550169561
29,16,2027-01,267.76174215877086
29,17,2027-02,267.75997153993285
29,18,2027-03,267.75881589859245
29,19,2027-04,267.7580616386247
29,20,2027-05,267.7575693508543
29,21,2027-06,267.75724804618574
29,22,2027-07,267.757038338173
29,23,2027-08,267.75690146667716
29,24,2027-09,267.75681213386565
29,25,2027-10,267.7567538284372
29,26,2027-11,267.75671577385305
29,27,2027-12,267.75669093651953
29,28,2028-01,267.75667472577516
29,29,2028-02,267.7566641454029
30,1,2025-10,270.8251087619834
30,2,2025-11,269.7593589921848
30,3,2025-12,269.06376914187393
30,4,2026-01,268.60977397943833
30,5,2026-02,268.3134619969923
30,6,2026-03,268.1200661236309
30,7,2026-04,267.99384117813776
30,8,2026-05,267.91145712005095
30,9,2026-06,267.85768697976425
30,10,2026-07,267.8225924717539
30,11,2026-08,267.79968711041545
30,12,2026-09,267.7847373189013
30,13,2026-10,267.77497994101
30,14,2026-11,267.76861152956934
30,15,2026-12,267.7644550169561
30,16,2027-01,267.76174215877086
30,17,2027-02,267.75997153993285
30,18,2027-03,267.75881589859245
30,19,2027-04,267.7580616386247
30,20,2027-05,267.7575693508543
30,21,2027-06,267.75724804618574
30,22,2027-07,267.757038338173
30,23,2027-08,267.75690146667716
30,24,2027-09,267.75681213386565
30,25,2027-10,267.7567538284372
30,26,2027-11,267.75671577385305
30,27,2027-12,267.75669093651953
30,28,2028-01,267.75667472577516
30,29,2028-02,267.7566641454029
30,30,2028-03,267.7566572398424
31,1,2025-10,270.8251087619834
31,2,2025-11,269.7593589921848
31,3,2025-12,269.06376914187393
31,4,2026-01,268.60977397943833
31,5,2026-02,268.3134619969923
31,6,2026-03,268.1200661236309
31,7,2026-04,267.99384117813776
31,8,2026-05,267.91145712005095
31,9,2026-06,267.85768697976425
31,10,2026-07,267.8225924717539
31,11,2026-08,267.79968711041545
31,12,2026-09,267.7847373189013
31,13,2026-10,267.77497994101
31,14,2026-11,267.76861152956934
31,15,2026-12,267.7644550169561
31,16,2027-01,267.76174215877086
31,17,2027-02,267.75997153993285
31,18,2027-03,267.75881589859245
31,19,2027-04,267.7580616386247
31,20,2027-05,267.7575693508543
31,21,2027-06,267.75724804618574
31,22,2027-07,267.757038338173
31,23,2027-08,267.75690146667716
31,24,2027-09,267.75681213386565
31,25,2027-10,267.7567538284372
31,26,2027-11,267.75671577385305
31,27,2027-12,267.75669093651953
31,28,2028-01,267.75667472577516
31,29,2028-02,267.7566641454029
31,30,2028-03,267.7566572398424
31,31,2028-04,267.7566527327452
32,1,2025-10,270.8251087619834
32,2,2025-11,269.7593589921848
32,3,2025-12,269.06376914187393
32,4,2026-01,268.60977397943833
32,5,2026-02,268.3134619969923
32,6,2026-03,268.1200661236309
32,7,2026-04,267.99384117813776
32,8,2026-05,267.91145712005095
32,9,2026-06,267.85768697976425
32,10,2026-07,267.8225924717539
32,11,2026-08,267.79968711041545
32,12,2026-09,267.7847373189013
32,13,2026-10,267.77497994101
32,14,2026-11,267.76861152956934
32,15,2026-12,267.7644550169561
32,16,2027-01,267.76174215877086
32,17,2027-02,267.75997153993285
32,18,2027-03,267.75881589859245
32,19,2027-04,267.7580616386247
32,20,2027-05,267.7575693508543
32,21,2027-06,267.75724804618574
32,22,2027-07,267.757038338173
32,23,2027-08,267.75690146667716
32,24,2027-09,267.75681213386565
32,25,2027-10,267.7567538284372
32,26,2027-11,267.75671577385305
32,27,2027-12,267.75669093651953
32,28,2028-01,267.75667472577516
32,29,2028-02,267.7566641454029
32,30,2028-03,267.7566572398424
32,31,2028-04,267.7566527327452
32,32,2028-05,267.75664979106864
33,1,2025-10,270.8251087619834
33,2,2025-11,269.7593589921848
33,3,2025-12,269.06376914187393
33,4,2026-01,268.60977397943833
33,5,2026-02,268.3134619969923
33,6,2026-03,268.1200661236309
33,7,2026-04,267.99384117813776
33,8,2026-05,267.91145712005095
33,9,2026-06,267.85768697976425
33,10,2026-07,267.8225924717539
33,11,2026-08,267.79968711041545
33,12,2026-09,267.7847373189013
33,13,2026-10,267.77497994101
33,14,2026-11,267.76861152956934
33,15,2026-12,267.7644550169561
33,16,2027-01,267.76174215877086
33,17,2027-02,267.75997153993285
33,18,2027-03,267.75881589859245
33,19,2027-04,267.7580616386247
33,20,2027-05,267.7575693508543
33,21,2027-06,267.75724804618574
33,22,2027-07,267.757038338173
33,23,2027-08,267.75690146667716
33,24,2027-09,267.75681213386565
33,25,2027-10,267.7567538284372
33,26,2027-11,267.75671577385305
33,27,2027-12,267.75669093651953
33,28,2028-01,267.75667472577516
33,29,2028-02,267.7566641454029
33,30,2028-03,267.7566572398424
33,31,2028-04,267.7566527327452
33,32,2028-05,267.75664979106864
33,33,2028-06,267.75664787110543
34,1,2025-10,270.8251087619834
34,2,2025-11,269.7593589921848
34,3,2025-12,269.06376914187393
34,4,2026-01,268.60977397943833
34,5,2026-02,268.3134619969923
34,6,2026-03,268.1200661236309
34,7,2026-04,267.99384117813776
34,8,2026-05,267.91145712005095
34,9,2026-06,267.85768697976425
34,10,2026-07,267.8225924717539
34,11,2026-08,267.79968711041545
34,12,2026-09,267.7847373189013
34,13,2026-10,267.77497994101
34,14,2026-11,267.76861152956934
34,15,2026-12,267.7644550169561
34,16,2027-01,267.76174215877086
34,17,2027-02,267.75997153993285
34,18,2027-03,267.75881589859245
34,19,2027-04,267.7580616386247
34,20,2027-05,267.7575693508543
34,21,2027-06,267.75724804618574
34,22,2027-07,267.757038338173
34,23,2027-08,267.75690146667716
34,24,2027-09,267.75681213386565
34,25,2027-10,267.7567538284372
34,26,2027-11,267.75671577385305
34,27,2027-12,267.75669093651953
34,28,2028-01,267.75667472577516
34,29,2028-02,267.7566641454029
34,30,2028-03,267.7566572398424
34,31,2028-04,267.7566527327452
34,32,2028-05,267.75664979106864
34,33,2028-06,267.75664787110543
34,34,2028-07,267.75664661799055
35,1,2025-10,270.8251087619834
35,2,2025-11,269.7593589921848
35,3,2025-12,269.06376914187393
35,4,2026-01,268.60977397943833
35,5,2026-02,268.3134619969923
35,6,2026-03,268.1200661236309
35,7,2026-04,267.99384117813776
35,8,2026-05,267.91145712005095
35,9,2026-06,267.85768697976425
35,10,2026-07,267.8225924717539
35,11,2026-08,267.79968711041545
35,12,2026-09,267.7847373189013
35,13,2026-10,267.77497994101
35,14,2026-11,267.76861152956934
35,15,2026-12,267.7644550169561
35,16,2027-01,267.76174215877086
35,17,2027-02,267.75997153993285
35,18,2027-03,267.75881589859245
35,19,2027-04,267.7580616386247
35,20,2027-05,267.7575693508543
35,21,2027-06,267.75724804618574
35,22,2027-07,267.757038338173
35,23,2027-08,267.75690146667716
35,24,2027-09,267.75681213386565
35,25,2027-10,267.7567538284372
35,26,2027-11,267.75671577385305
35,27,2027-12,267.75669093651953
35,28,2028-01,267.75667472577516
35,29,2028-02,267.7566641454029
35,30,2028-03,267.7566572398424
35,31,2028-04,267.7566527327452
35,32,2028-05,267.75664979106864
35,33,2028-06,267.75664787110543
35,34,2028-07,267.75664661799055
35,35,2028-08,267.75664580011187
36,1,2025-10,270.8251087619834
36,2,2025-11,269.7593589921848
36,3,2025-12,269.06376914187393
36,4,2026-01,268.60977397943833
36,5,2026-02,268.3134619969923
36,6,2026-03,268.1200661236309
36,7,2026-04,267.99384117813776
36,8,2026-05,267.91145712005095
36,9,2026-06,267.85768697976425
36,10,2026-07,267.8225924717539
36,11,2026-08,267.79968711041545
36,12,2026-09,267.7847373189013
36,13,2026-10,267.77497994101
36,14,2026-11,267.76861152956934
36,15,2026-12,267.7644550169561
36,16,2027-01,267.76174215877086
36,17,2027-02,267.75997153993285
36,18,2027-03,267.75881589859245
36,19,2027-04,267.7580616386247
36,20,2027-05,267.7575693508543
36,21,2027-06,267.75724804618574
36,22,2027-07,267.757038338173
36,23,2027-08,267.75690146667716
36,24,2027-09,267.75681213386565
36,25,2027-10,267.7567538284372
36,26,2027-11,267.75671577385305
36,27,2027-12,267.75669093651953
36,28,2028-01,267.75667472577516
36,29,2028-02,267.7566641454029
36,30,2028-03,267.7566572398424
36,31,2028-04,267.7566527327452
36,32,2028-05,267.75664979106864
36,33,2028-06,267.75664787110543
36,34,2028-07,267.75664661799055
36,35,2028-08,267.75664580011187
36,36,2028-09,267.7566452663017
